Thématique;Opérateur Cast3M;Description courte;Équivalent pyrucast
Maths - arithmétique;-;Soustraction;__sub__
Maths - arithmétique;*;Multiplication;__mul__
Maths - arithmétique;/;Division;__truediv__
Maths - arithmétique;**;Puissance;—
Maths - fonctions;ABS;Valeur absolue;abs
Maths - fonctions;RACI;Racine carrée;sqrt
Maths - fonctions;EXP;Exponentielle;exp
Maths - fonctions;LOG;Logarithme népérien;log
Maths - fonctions;LOG (base10);Logarithme décimal;log10
Maths - fonctions;COS;Cosinus;cos
Maths - fonctions;SIN;Sinus;sin
Maths - fonctions;TANG;Tangente;tan
Maths - fonctions;COSH;Cosinus hyperbolique;cosh
Maths - fonctions;SINH;Sinus hyperbolique;sinh
Maths - fonctions;TANH;Tangente hyperbolique;tanh
Maths - fonctions;ATG;Arc tangente;—
Visualisation;TRAC;Tracé d'un maillage ou d'un champ;plot (viz)
Visualisation;SORT;Écrit un maillage/champ dans un fichier externe (VTK pour ParaView);export_vtk
Visualisation;DEFO;Construit / trace la déformée;deformation + displace + viz
Visualisation;EVOL;Crée une courbe d'évolution (X-Y);Evolution / SubEvolution (généralisé : valeur scalaire ou champ, interpolation linéaire)
Visualisation;DESS;Dessine une courbe d'évolution;Evolution.plot (courbe X-Y ; champ + slider de valeur tabulée)
Visualisation;OEIL;Définit le point de vue 3D;camera (viz)
Visualisation;ZOOM;Cadrage / zoom du tracé;viz (caméra)
Non-linéaire / transitoire;KTAN;Matrice de rigidité tangente (Newton non-linéaire);tangent
Non-linéaire / transitoire;PERT;Perturbation pour matrice tangente par différences finies;—
Non-linéaire / transitoire;ADVE;Matrice d'advection (transport convectif);—
Non-linéaire / transitoire;KEQU;Matrice équivalente (combinaison pondérée pour le transitoire);—
Non-linéaire / transitoire;PJBA;Projette un champ sur une base de modes;—
Non-linéaire / transitoire;LUMP;Concentration (lumping) d'une matrice masse/capacité;lump
Non-linéaire / transitoire;PHAJ;Changement de phase / chaleur latente (thermique);—
Non-linéaire / transitoire;EPTH;Déformation thermique (dilatation libre);thermal_strain
Non-linéaire / transitoire;PRIN;Valeurs et directions principales (contraintes/déformations);—
Non-linéaire / transitoire;VARI;Variables internes de la loi de comportement;ElementField (variables internes) (partiel)
Non-linéaire / transitoire;NUAG;Interpolation par nuage de points (table -> champ);—
Non-linéaire / transitoire;MASQ;Masque logique (sélection conditionnelle sur un champ);mask (champ 0/1 par composante ; sucre `>=` `>` `<=` `<`)
Non-linéaire / transitoire;MULT;Produit matrice-champ (M . u);__matmul__ Matrix x field (partiel)
Non-linéaire / transitoire;XTX;Produit X transposée par X (norme au carré);xtx
Champs - manipulation;EXTR;Extrait une information/composante d'un objet ou d'une table;indexation conteneur / composantes
Champs - manipulation;TIRE;Extrait une ligne/colonne d'une table ou d'un listréel;indexation
Champs - manipulation;NOID;Numéros (identifiants) des nœuds;Node (numérotation) (partiel)
Champs - manipulation;SOMM;Sommets d'un maillage ou d'un élément;—
Champs - manipulation;NATURE;Nature d'un champ (CHPO / CHML / ...);type de conteneur (NodeField/ElementField)
Champs - manipulation;MAIL;Extrait le maillage support d'un objet;support / .mesh / row_mesh / col_mesh (support d'un bloc de matrice)
Champs - manipulation;IPOL;Interpole une évolution en une abscisse (ou un champ) ;Evolution.interpolate / SubEvolution.interpolate (scalaire → scalaire/champ ; champ → champ via courbe de transfert typée)
Objets - gestion;EXIS;Teste l'existence d'un objet ou d'une composante;Python natif (in / hasattr)
Objets - gestion;OUBL;Libère un objet de la mémoire;Python natif (del / GC)
Objets - gestion;MENA;Nettoyage mémoire (ramasse-miettes);Python natif (GC)
Objets - gestion;DETR;Détruit un objet;Python natif (del)
Objets - gestion;COPI;Copie (duplique) un objet;.copy() / clone
Objets - gestion;VIDE;Teste si un objet est vide;Python natif (len == 0)
Objets - gestion;TYPE;Type d'un objet;Python natif (type())
Objets - gestion;OPTI;Fixe les options globales (dimension, mode, mémoire);paramètres / Coords (dimension et repère : new / axisymmetric)
Langage GIBIANE;DEBPROC;Définit le début d'une procédure;Python natif (def)
Langage GIBIANE;FINPROC;Fin de procédure / valeurs de retour;Python natif (return)
Langage GIBIANE;SI;Test conditionnel;Python natif (if)
Langage GIBIANE;SINON;Alternative du test;Python natif (else)
Langage GIBIANE;FINSI;Fin du bloc conditionnel;Python natif (fin de bloc)
Langage GIBIANE;REPETER;Boucle itérative;Python natif (for / while)
Langage GIBIANE;FINREPE;Fin de boucle;Python natif (fin de bloc)
Langage GIBIANE;ITERER;Passe à l'itération suivante;Python natif (continue)
Langage GIBIANE;QUITTER;Sort d'une boucle ou d'une procédure;Python natif (break / return)
Langage GIBIANE;MESS;Affiche un message;Python natif (print)
Langage GIBIANE;SAUT;Saut de ligne à l'affichage;Python natif (print)
Langage GIBIANE;PROG;Crée un listréel (liste de flottants);Python natif (list[float] / numpy)
Langage GIBIANE;TABL;Crée/manipule une table associative;Python natif (dict)
Langage GIBIANE;MOTS;Crée une liste de mots-clés;Python natif (list[str])
Langage GIBIANE;VALE;Lit/écrit une valeur dans une table;Python natif (dict[...])
Langage GIBIANE;CHAI;Concatène des chaînes de caractères;Python natif (f-string / +)
Langage GIBIANE;NEG;Négation logique;Python natif (not)
Langage GIBIANE;EGA;Test d'égalité;Python natif (==)
Langage GIBIANE;ET;Et logique;Python natif (and)
Langage GIBIANE;OU;Ou logique;Python natif (or)
Langage GIBIANE;NON;Non logique;Python natif (not)
Maillage - qualité;REGE;Régularise un maillage (lissage des nœuds);regularize
Maillage - qualité;;Corrige la connectivité (doublets, valences);cleanup
Maillage - qualité;;Retire les triangles d'un maillage quadrangulaire;merge_triangles
